category,service,endpoint,method,path,severity,status,cls,tier,rule,problem,expected,evidence,src
database,cachestore,cachestorecreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
database,epas,epascreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
database,epas,epasregisterlogexportconfig,POST,/v1/clusters/{cluster_id}/log-export-configs,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"Same access_key="""" -> 500 ContactAdminForAssistance class as database/postgresql/postgresqlregisterlogexportconfig (실측).",runtime
database,mariadb,mariadbcreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
database,mariadb,mariadbregisterlogexportconfig,POST,/v1/clusters/{cluster_id}/log-export-configs,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"Same access_key="""" -> 500 ContactAdminForAssistance class as database/postgresql/postgresqlregisterlogexportconfig (실측).",runtime
database,mysql,mysqlcreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
database,mysql,mysqlregisterlogexportconfig,POST,/v1/clusters/{cluster_id}/log-export-configs,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"Same access_key="""" -> 500 ContactAdminForAssistance class as database/postgresql/postgresqlregisterlogexportconfig (실측).",runtime
database,postgresql,postgresqlcreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
database,postgresql,postgresqlregisterlogexportconfig,POST,/v1/clusters/{cluster_id}/log-export-configs,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"POST log-export-config with access_key="""" -> 500 ContactAdminForAssistance instead of 400 (an empty required credential should fail input validation, not the backend). Same class reproduced across the mariadb/mysql/epas siblings (see sibling findings on this rule_id). Heavy n6 DBaaS runs; already a <자원명>-axis known_issue but not previously an AXIS-2 finding. Reconfirmed 실측 2026-07-16.",runtime
database,postgresql,postgresqlsetparametervalues,PUT,/v1/clusters/{cluster_id}/parameters,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"PUT parameters no-op echo (re-submitting the current applied_value for a template-string parameter, e.g. ""{1/8 of server total memory}"") -> 500 ContactAdminForAssistance instead of 200/400. req-ef12a36a..., 실측 campaign A (2026-07-16). Workaround: scenario only echoes literal-valued params (e.g. max_connections).",runtime
database,sqlserver,sqlservercreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
financial-management,billingplan,createplannedcomputes,POST,/v1/planned-computes,red,red,규격,본문,errors.detail-python-repr,"errors[].detail에 파이썬 리스트의 repr 문자열을 그대로 직렬화해 반환 — 플랫폼 표준(JSON 배열, 당일 131개 API 실측)과 달리 필드 단위 파싱 불가. 우선 조치 필요",detail을 JSON 배열로 반환,"errors[].detail is a stringified Python list — observed ""['Field required', 'Field required', 'Field required', 'Field required']"" (empty-body 400, global_request_id req-b6280fd2-7848-…, 2026-08-20). Platform-standard detail is a JSON array (131 endpoints measured same day); a repr string cannot be parsed field-wise. Immediate-fix per owner triage.",runtime
financial-management,billingplan,showcancellationfee,POST,/v1/planned-computes/cancellation-fee,red,red,규격,본문,errors.detail-python-repr,"errors[].detail에 파이썬 리스트의 repr 문자열을 그대로 직렬화해 반환 — 플랫폼 표준(JSON 배열, 당일 131개 API 실측)과 달리 필드 단위 파싱 불가. 우선 조치 필요",detail을 JSON 배열로 반환,"errors[].detail is a stringified Python list — observed ""['Field required']"" (empty-body 400, global_request_id req-210f6bdc-3f2a-4932-9585-5e8c8167773e, 2026-08-20). Same repr-leak shape as createplannedcomputes. Immediate-fix per owner triage.",runtime
management,cloudmonitoring,getmetricperfdatalist,POST,/v1/cloudmonitorings/product/v2/metric-data,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
management,cloudmonitoring,puteventpolicy,POST,/v1/cloudmonitorings/event/v2/event-policies,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
management,iam-identity-center,creategroup,POST,/v1/groups,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
management,iam-identity-center,createpermissionset,POST,/v1/permission-sets,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
management,servicewatch,showeventrule,GET,/v1/event-rules/{event_rule_id},red,red,규격,본문,notfound-200,존재하지 않는 리소스 조회가 200 반환,부재 리소스는 404,non-existent id -> 200 (should be 404),runtime
management,servicewatch,showloggroup,GET,/v1/log-groups/{log_group_id},red,red,규격,본문,notfound-200,존재하지 않는 리소스 조회가 200 반환,부재 리소스는 404,non-existent id -> 200 (should be 404),runtime
networking,vpc,listsubnets,GET,/v1/subnets,red,red,규격,본문,networking.subnet-read-plane-version-drift,생성(v1.3)은 되는 PRIVATE 타입 서브넷이 조회 계열(v1.2 enum)에서 보이지 않음 — API로 존재를 확인할 수 없는 리소스 발생,조회 계열 enum을 생성 계열과 동일 버전으로 정합,"GET listsubnets?type=PRIVATE -> 400 ""Input should be 'GENERAL', 'LOCAL' or 'VPC_ENDPOINT'"" (PRIVATE rejected as a filter value) even though createsubnet documents and accepts PRIVATE. PRIVATE subnet enum was added in createsubnet v1.3 (PUBLIC/PRIVATE/LOCAL/VPC_ENDPOINT) and create/delete accept it (202), but the READ plane (show/list) still validates against the old v1.2 enum (GENERAL/LOCAL/VPC_ENDPOINT) -> a PRIVATE-typed subnet is a live, billable resource with no GET path (create/delete plane version != read plane version). Live-probed req-65a36c09..., 실측 2026-07-16; scenario workaround is a 30s blind settle instead of show-poll.",runtime
networking,vpc,showsubnet,GET,/v1/subnets/{subnet_id},red,red,규격,본문,networking.subnet-read-plane-version-drift,생성(v1.3)은 되는 PRIVATE 타입 서브넷이 조회 계열(v1.2 enum)에서 보이지 않음 — API로 존재를 확인할 수 없는 리소스 발생,조회 계열 enum을 생성 계열과 동일 버전으로 정합,"GET showsubnet on a PRIVATE-typed subnet -> 404 ""Not found with ID With Invalid Type"" even though the subnet exists and DELETE on the same id succeeds (202). PRIVATE subnet enum was added in createsubnet v1.3 (PUBLIC/PRIVATE/LOCAL/VPC_ENDPOINT) and create/delete accept it (202), but the READ plane (show/list) still validates against the old v1.2 enum (GENERAL/LOCAL/VPC_ENDPOINT) -> a PRIVATE-typed subnet is a live, billable resource with no GET path (create/delete plane version != read plane version). Live-probed req-65a36c09..., 실측 2026-07-16; scenario workaround is a 30s blind settle instead of show-poll.",runtime
ai-ml,aimlops-platform,checkaimlopsplatformversionv1,GET,/v1/aimlops-platform/clusters/{cluster_id}/check-version,yellow,yellow,규격,본문,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 400 (not 404),runtime
ai-ml,aimlops-platform,getaimlopsplatformnodelistv1,GET,/v1/aimlops-platform/internal/clusters/{cluster_id}/nodes,yellow,yellow,문서,본문,deprecated,DEPRECATED 표기만 있고 대체 API 안내 없음,대체 엔드포인트와 제거 일정 명시,DEPRECATED endpoint,static
ai-ml,aimlops-platform,getaimlopsplatformnodelistv1,GET,/v1/aimlops-platform/internal/clusters/{cluster_id}/nodes,yellow,yellow,규격,본문,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 400 (not 404),runtime
ai-ml,aimlops-platform,getaimlopsplatformstorageclasseslistv1,GET,/v1/aimlops-platform/internal/clusters/{cluster_id}/storageclasses,yellow,yellow,문서,본문,deprecated,DEPRECATED 표기만 있고 대체 API 안내 없음,대체 엔드포인트와 제거 일정 명시,DEPRECATED endpoint,static
ai-ml,aimlops-platform,getaimlopsplatformstorageclasseslistv1,GET,/v1/aimlops-platform/internal/clusters/{cluster_id}/storageclasses,yellow,yellow,규격,본문,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 400 (not 404),runtime
ai-ml,aimlops-platform,validateclusterresourcesizeforaimlopsplatformv1,GET,/v1/aimlops-platform/clusters/{cluster_id}/validate-resources,yellow,yellow,규격,본문,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 400 (not 404),runtime
ai-ml,cloud-ml,createcloudml,POST,/v1/cloud-ml,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,"required fields with no documented constraint: cloud_ml_name, cluster_id, custom_registry_access_key, custom_registry_access_secret_key, custom_registry_host, domain_name, endpoint_type, image_id",static
ai-ml,cloud-ml,updatecloudml,PUT,/v1/cloud-ml/{cloud_ml_id},yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: description,static
application-service,apigateway,approveprivatelinkendpoint,PUT,/v1/privatelink-endpoints/{privatelink_endpoint_id}/approval,yellow,red,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: api_id,static
application-service,apigateway,connectprivatelinkendpoint,PUT,/v1/privatelink-endpoints/{privatelink_endpoint_id}/connection,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: api_id,static
application-service,apigateway,createaccesscontrols,POST,/v1/apis/{api_id}/access-controls,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: name,static
application-service,apigateway,createapi,POST,/v1/apis,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: name,static
application-service,apigateway,createapi,POST,/v1/apis,yellow,yellow,문서,본문,schema-undocumented-field,실제 응답에 문서에 없는 필드 존재,응답 스키마 문서 갱신,response has undocumented field(s): endpoint_type,runtime
application-service,apigateway,createapikey,POST,/v1/apis/{api_id}/usage-plans/{usage_plan_id}/api-keys,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: name,static
application-service,apigateway,createauth,POST,/v1/apis/{api_id}/auths,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: name,static
application-service,apigateway,createprivatelinkendpoint,POST,/v1/privatelink-endpoints,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,"required fields with no documented constraint: name, privatelink_service_id",static
application-service,apigateway,createresource,POST,/v1/apis/{api_id}/resources/{parent_id},yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: path_part,static
application-service,apigateway,createstage,POST,/v1/apis/{api_id}/stages,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,"required fields with no documented constraint: deployment_id, stage_name",static
application-service,apigateway,createusageplan,POST,/v1/apis/{api_id}/usage-plans,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: name,static
application-service,apigateway,listaccesscontrols,GET,/v1/apis/{api_id}/access-controls,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,listapideployments,GET,/v1/apis/{api_id}/deployments,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,listapis,GET,/v1/apis,yellow,yellow,문서,본문,schema-undocumented-field,실제 응답에 문서에 없는 필드 존재,응답 스키마 문서 갱신,response has undocumented field(s): endpoint_type,runtime
application-service,apigateway,listauths,GET,/v1/apis/{api_id}/auths,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,listconnectedprivatelinkendpoints,GET,/v1/apis/{api_id}/connected-endpoints,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,listreports,GET,/v1/apis/{api_id}/reports,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,listresources,GET,/v1/apis/{api_id}/resources,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,liststages,GET,/v1/apis/{api_id}/stages,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,listusageplans,GET,/v1/apis/{api_id}/usage-plans,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,setstageactivedeployment,PUT,/v1/apis/{api_id}/stages/{stage_name}/deployment,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: deployment_id,static
application-service,apigateway,showapi,GET,/v1/apis/{api_id},yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,showapi,GET,/v1/apis/{api_id},yellow,yellow,문서,본문,schema-undocumented-field,실제 응답에 문서에 없는 필드 존재,응답 스키마 문서 갱신,"response has undocumented field(s): endpoint_type,privatelink_service_id",runtime
application-service,apigateway,showprivatelinkendpoint,GET,/v1/privatelink-endpoints/{privatelink_endpoint_id},yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,apigateway,showresourcepolicy,GET,/v1/apis/{api_id}/resource-policies,yellow,yellow,규격,부록,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 403 (not 404),runtime
application-service,queueservice,createqueue,POST,/v1/queues,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: name,static
application-service,queueservice,getqueueattributes,GET,/v1/queues/{queue_id}/attributes,yellow,yellow,규격,본문,notfound-inconsistent,"형식이 유효한 존재하지-않는 id 조회에 404가 아닌 400/403 반환 — 클라이언트가 ""형식 오류/권한 문제/부재""를 구분할 수 없음. 참고: 같은 플랫폼에서 199개 API는 404를 반환하므로 통일 필요",부재 리소스는 404로 통일 (또는 은닉 정책이라면 플랫폼 전체 일관 + 문서화),non-existent id -> 400 (not 404),runtime
application-service,queueservice,updatequeuedescription,PUT,/v1/queues/{queue_id}/description,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: description,static
compute,baremetal,assignbaremetalprivatenatip,POST,/v1/baremetals/{baremetal_id}/private-nat-ips,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,"required fields with no documented constraint: private_nat_id, private_nat_ip_id",static
compute,baremetal,assignbaremetalpublicnatip,POST,/v1/baremetals/{baremetal_id}/public-nat-ips,yellow,yellow,문서,본문,undiscoverable-params,필수 파라미터의 값 형식·제약·출처가 API Reference에 없음,필수 필드별 타입·제약·유효값(또는 값을 얻는 조회 API)을 문서에 명시,required fields with no documented constraint: public_ip_address_id,static
